fips,County,State,stateFIPS,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20
0,Statewide Unallocated,NC,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,0,0,0,1,1,1,1,1,2,3,3,209,1,2,2,2,203,203,152,152,0,120,120,155,130,130,0,0,0,0,0,0,3,19,1,1,3,3,3,3,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,1166,1166,1166,1166
37001,Alamance,NC,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,5,5,6,7,7,7,13,14,16,18,18,24,27,29,33,34,36,40,42,42,45,47,47,49,49,52,55,63,73,77,82,91,92,95,99,106,121,124,126,126,128,143,149,152,172,178,180,181,190,195,203,207,215,223,229,236,246,257,261,274,274,281,293,307,329,329,364,368,382,398,427,451,465,494,519,544,581,641,700,742,778,796,810,838,883,919,939,946,969,994,1009,1032,1066,1088,1114,1121,1151,1179,1207,1240,1274,1292,1309,1319,1357,1388,1401,1428,1460,1492,1535,1569,1607,1648,1684,1718,1755,1809,1842,1896,1920,1954,1973,2029,2066,2101,2148,2189,2207,2248,2280,2298,2343,2365,2396,2448,2472,2496,2496,2567,2586,2612,2639
37003,Alexander,NC,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,6,8,8,10,12,12,13,14,15,15,18,21,21,21,23,23,23,27,27,27,27,28,30,30,33,33,35,38,38,38,38,43,43,43,43,43,43,46,48,49,49,49,51,56,59,60,65,66,68,73,76,79,84,84,87,91,93,101,105,112,118,124,134,138,140,149,156,163,174,183,186,193,197,210,213,216,221,225,235,240,250,253,256,258,258,259,262,265,270,271,274,278,284,288,295,299,303,312,312,323,327,332,338
37005,Alleghany,NC,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,6,6,6,6,7,7,7,7,8,8,8,9,10,10,11,11,12,12,12,12,12,12,12,13,13,14,14,14,15,15,17,18,18,22,24,28,28,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,32,36,36,36,37,37,37,37,39,41,41,41,42,43,44,46,50,51,53,54,52,53,55,56,61,62,62,63,64,66,67,67,98,156,164,164,165,166,167,167,169,169,169,171,172,177,179
37007,Anson,NC,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,5,6,6,9,9,10,10,10,11,12,14,14,15,15,18,18,18,18,19,20,20,20,22,24,25,27,29,30,30,30,31,33,37,38,38,38,39,34,41,43,46,47,48,49,50,50,54,57,57,57,57,57,63,63,64,64,65,66,68,68,70,71,72,74,78,78,81,83,85,86,87,89,91,91,95,96,102,106,107,108,115,119,121,125,126,128,132,138,142,148,149,155,162,171,176,182,189,194,208,214,218,234,240,253,260,267,267,267,269,269,279,280,287,292,295,298,301,301,302,303,308,311,317,317,327,328,328,332,332,358,363,366,374
37009,Ashe,NC,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,7,8,10,10,14,16,17,17,26,27,28,28,28,31,31,33,34,34,34,34,34,36,36,36,36,36,36,39,39,40,40,40,41,42,42,43,43,43,43,43,43,44,45,47,47,47,49,49,50,51,52,52,52,54,54,54,54,54,57,60,60,61,61,62,62,63,64,65,67,67,67,73,73,74,75,75,82,83,83,84,88,96,97,107,114,119,119,120,126,139,142,152,157,157,158,165,165,167,168,168,174
37011,Avery,NC,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,9,9,9,12,12,13,13,14,15,18,18,19,21,23,26,26,30,31,36,38,39,41,42,45,52,53,53,54,60,61,61,72,72,75,79,81,83,84,87,88,90,90,93,95,95,95,95,95,99,106,107
37013,Beaufort,NC,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,4,5,7,7,8,8,8,9,9,10,12,13,13,13,13,13,13,13,13,14,14,15,16,16,16,20,20,20,20,20,21,21,21,21,21,21,21,22,24,24,25,25,25,25,26,26,27,27,30,30,30,30,32,32,32,32,32,33,33,33,34,34,34,36,36,39,41,41,41,41,43,43,45,49,50,50,51,52,53,54,54,55,57,59,61,61,62,66,74,77,80,83,83,93,100,103,104,108,110,118,123,134,139,148,154,157,163,171,185,190,197,207,209,216,224,240,258,272,290,290,306,331,335,339,348,351,354,354,365,369,387,396,405,410,410,419,425,435,448
37015,Bertie,NC,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,5,6,6,6,6,7,7,7,9,10,11,12,12,12,12,15,16,17,18,20,21,24,24,27,31,33,37,37,38,38,38,44,44,47,47,48,51,53,57,58,60,61,61,67,72,74,76,84,87,89,95,98,99,108,109,113,115,115,115,118,119,122,122,122,125,126,127,129,133,134,134,134,134,134,134,134,134,134,134,135,135,136,136,136,136,137,138,139,140,141,141,145,145,146,146,146,149,151,151,151,152,154,155,155,156,157,157,161,163,168,174,178,178,181,190,191,194,204,214,215,219,222,226,232,245,247,249,254,254,263,263,269,272,275,280,280,294,299,313,317
37017,Bladen,NC,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,6,7,10,10,13,20,21,25,27,27,29,34,40,45,50,51,52,54,60,63,66,68,70,71,73,78,81,83,91,91,91,91,91,91,92,95,100,100,104,104,106,132,143,153,162,163,163,164,173,186,188,194,196,199,214,220,232,262,307,310,321,333,341,344,349,357,366,371,379,384,397,398,399,399,406,411,419,424,430,438,446,455,457,464,474,480,485,487,493,508,508,514,523,528,536,539,549,563,563,577,584,589,591,596,603,608,623,623,625,626,626,634,640,651,652
